name,type,side,eco_code,moves
Albin Countergambit Lasker Trap,Opening,Black,D08,1.d4 d5 2.c4 e5 3.dxe5 d4 4.e3 Bb4+ 5.Bd2 dxe3
Albin Countergambit Main Line,Opening,Black,D08,1.d4 d5 2.c4 e5 3.dxe5 d4 4.Nf3 Nc6
Alekhine Defense Balogh Variation,Opening,White,B03,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Bc4
Alekhine Defense Brooklyn Variation,Opening,White,B02,1.e4 Nf6 2.e5 Ng8
Alekhine Defense Exchange Variation,Opening,White,B03,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.exd6
Alekhine Defense Four Pawns Attack,Opening,White,B03,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4
Alekhine Defense Four Pawns Attack Korchnoi Variation,Opening,White,B03,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 dxe5 6.fxe5 Bf5 7.Nc3 e6 8.Nf3 Be7 9.Be2 O-O 10.O-O f6
Alekhine Defense Modern Variation Larsen Variation,Opening,White,B04,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 de5
Alekhine Defense - Hunt Variation - Lasker Simul Gambit,Opening,Black,B02,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4 5.Be2 e6
Alekhine Defense - Maroczy Variation,Opening,Black,B03,1.e4 Nf6 2.c4 e5 3.Nc3 d6 4.g3
Alekhine Defense - Modern Variation,Opening,Black,B04,1.e4 Nf6 2.Nc3 d6
Alekhine Defense - Modern Variation - Alburt Variation,Opening,Black,B04,1.e4 Nf6 2.Nc3 d6 3.d4 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O Nc6 7.Be3 Bg4 8.Qd2
Alekhine Defense - Modern Variation - Alekhine Gambit,Opening,Black,B04,1.e4 Nf6 2.Nc3 d6 3.d4 g6 4.f4 Bg7 5.Nf3 O-O
Alekhine Defense - Modern Variation - Keres Variation,Opening,Black,B04,1.e4 Nf6 2.Nc3 d6 3.d4 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O Nc6 7.Be3 Bg4 8.Qd2 Nd7
Alekhine Defense - Modern Variation - Larsen Variation,Opening,Black,B04,1.e4 Nf6 2.Nc3 d6 3.d4 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O Nbd7
Alekhine Defense - Modern Variation - Larsen Variation - Miles Line,Opening,Black,B04,1.e4 Nf6 2.Nc3 d6 3.d4 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O Nbd7 7.a4
Alekhine Defense - Modern Variation - Larsen-Haakert Variation,Opening,Black,B04,1.e4 Nf6 2.Nc3 d6 3.d4 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O Nbd7 7.a4 c6 8.Be3 e5
Alekhine Defense - Modern Variation - Main Line,Opening,Black,B04,1.e4 Nf6 2.Nc3 d6 3.d4 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O Nc6
Alekhine Defense - Modern Variation - Panov Variation,Opening,Black,B04,1.e4 Nf6 2.Nc3 d6 3.d4 g6 4.f4 Bg7 5.Nf3 O-O 6.e4 c5 7.d5 e6
Alekhine Defense - Modern Variation - Schmid Variation,Opening,Black,B04,1.e4 Nf6 2.Nc3 d6 3.d4 g6 4.Nf3 Bg7 5.Be2 O-O 6.O-O Nc6 7.Be3 Ng4
Alekhine Defense - Normal Variation,Opening,Black,B02,1.e4 Nf6 2.d4 Nxe4
Alekhine Defense - Normal Variation,Opening,Black,B02,1.e4 Nf6 2.d4 Nxe4
Alekhine Defense - Saemisch Attack,Opening,Black,B03,1.e4 Nf6 2.c4 e5 3.Nc3 d6 4.d4 Nbd7 5.Nf3 Be7 6.g3 O-O 7.Bg2 c6 8.O-O Qc7
Alekhine Defense - Scandinavian Variation,Opening,Black,B02,1.e4 Nf6 2.d4 d5
Alekhine Defense - Spielmann Gambit,Opening,Black,B02,1.e4 Nf6 2.d4 d5 3.e5 Nfd7
Alekhine Defense - Two Pawn Attack,Opening,Black,B03,1.e4 Nf6 2.c4 e5 3.Nc3 d6
Alekhine Defense - Two Pawn Attack - Lasker Variation,Opening,Black,B03,1.e4 Nf6 2.c4 e5 3.Nc3 d6 4.g3 Nc6 5.Bg2 g6
Alekhine's Defense  -,Opening,Black,B02,1.e4 Nf6
Alekhine's Defense  Exchange Variation,Opening,Black,B02,1.e4 Nf6 2.d4 Nxe4
Alekhine's Defense  Modern Variation,Opening,Black,B04,1.e4 Nf6 2.Nc3 d6
Alekhine's Defense  Modern - 4...Bg4,Opening,Black,B04,1.e4 Nf6 2.Nc3 d6 3.d4 g6 4.Nf3 Bg4
Anastasia's Mate,Mate,-,-,1.Rxf7+ Kxf7 2.Qh5+ Ke6 3.Qf5+ Kd6 4.Qc5+ Ke6 5.Qd5+ Kf6 6.Qf5#
Anderssen Opening - General,Opening,White,A00,1.e4 a6
Arabian Mate,Mate,-,-,1.Rf7+ Ke8 2.Qf8# 
Back Rank Mate,Mate,-,-,1.Qe8# or 1.Rf8#
Benko Gambit  -,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5
Benko Gambit  Accepted,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6
Benko Gambit  Declined,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nf3
Benko Gambit - Accepted - Central Storming Variation,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3 d6 6.e4 g6
Benko Gambit - Accepted - Dlugy Variation,Opening,Black,A57,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3 d6 6.Nf3 Bg7 7.a4
